ticket_id,account_id,created_date,pred_category,pred_severity,sentiment,theme
TK105025,ACC101645,2026-07-13,API/Integration,Low,0.6249,"overnight batch, batch, overnight"
TK114428,ACC104755,2026-05-29,API/Integration,Medium,0.128,"webhook events, keys, rotated"
TK109677,ACC103189,2026-04-30,API/Integration,Critical,-0.296,"overnight batch, batch, overnight"
TK112836,ACC104224,2026-06-12,Data Accuracy,Critical,-0.3182,"morning, recon job, flagged"
TK114639,ACC104831,2026-05-27,Reporting,Medium,0.3612,"moderate impact, moderate, like fixed"
TK103070,ACC101008,2026-07-12,UI/Usability,High,0.4767,"schedule, report times, generation"
TK114216,ACC104684,2026-05-10,Reconciliation,Medium,0.3612,"don match, match, don"
TK103837,ACC101259,2026-07-10,API/Integration,Critical,0.1027,"overnight batch, batch, overnight"
TK108926,ACC102946,2026-05-08,Settlement,Critical,-0.2023,"don match, match, don"
TK114314,ACC104716,2026-05-19,UI/Usability,Medium,-0.1027,"moderate impact, moderate, like fixed"
TK107247,ACC102371,2026-06-27,Settlement,Critical,0.0516,"window yesterday, cutoff, window"
TK103997,ACC101310,2026-05-31,Performance,Low,0.0258,"schedule, report times, generation"
TK109594,ACC103164,2026-07-05,Reconciliation,Medium,0.7351,"moderate impact, moderate, like fixed"
TK109410,ACC103102,2026-05-06,Access/Permissions,High,-0.1779,"morning, recon job, flagged"
TK110416,ACC103432,2026-05-26,Reconciliation,Medium,0.3612,"moderate impact, moderate, like fixed"
TK113926,ACC104587,2026-06-29,Performance,Low,0.4497,"schedule, report times, generation"
TK105046,ACC101653,2026-05-08,API/Integration,Low,0.2741,"webhook events, keys, rotated"
TK100379,ACC100117,2026-06-15,Settlement,High,-0.4912,"moderate impact, moderate, like fixed"
TK104671,ACC101533,2026-05-09,Reporting,Medium,0.0772,"missing, missing columns, columns"
TK103208,ACC101051,2026-05-12,Onboarding,Medium,0.3612,"moderate impact, moderate, like fixed"
TK100542,ACC100171,2026-04-19,Reporting,Medium,0.3612,"exported, exported report, figures"
TK103944,ACC101294,2026-06-08,API/Integration,High,0.4019,"webhook events, keys, rotated"
TK102157,ACC100701,2026-05-30,Settlement,High,0.0258,"window yesterday, cutoff, window"
TK111793,ACC103880,2026-05-17,API/Integration,Critical,-0.1779,"overnight batch, batch, overnight"
TK105118,ACC101672,2026-06-21,Settlement,Medium,-0.4559,"moderate impact, moderate, like fixed"
TK110585,ACC103490,2026-07-10,Onboarding,High,0.0772,"don match, match, don"
TK113278,ACC104376,2026-05-28,Reporting,Critical,0.4404,"schedule, report times, generation"
TK115156,ACC104999,2026-06-09,Settlement,Critical,-0.7269,"failed, settle, pending"
TK109213,ACC103032,2026-04-20,Settlement,High,-0.7339,"moderate impact, moderate, like fixed"
TK113225,ACC104358,2026-05-13,Reconciliation,High,0.5106,"morning, recon job, flagged"
TK113844,ACC104560,2026-05-06,API/Integration,Medium,-0.2023,"webhook events, keys, rotated"
TK109780,ACC103225,2026-06-27,Reconciliation,High,-0.1779,"don match, match, don"
TK107146,ACC102330,2026-06-27,UI/Usability,Low,-0.177,"schedule, report times, generation"
TK105815,ACC101879,2026-06-09,Onboarding,Low,0.2732,"schedule, report times, generation"
TK100149,ACC100042,2026-06-17,Settlement,High,-0.3578,"moderate impact, moderate, like fixed"
TK110042,ACC103305,2026-05-19,Data Accuracy,High,-0.1779,"morning, recon job, flagged"
TK109376,ACC103093,2026-06-21,API/Integration,Medium,0.2153,"overnight batch, batch, overnight"
TK109445,ACC103117,2026-05-19,Reconciliation,High,0.4588,"morning, recon job, flagged"
TK100476,ACC100151,2026-04-22,API/Integration,Critical,-0.4939,"schedule, report times, generation"
TK111409,ACC103750,2026-06-22,Reporting,Low,-0.2732,"exported, exported report, figures"
TK102481,ACC100803,2026-06-15,Reporting,Low,-0.0762,"exported, exported report, figures"
TK114865,ACC104904,2026-05-04,API/Integration,Medium,-0.2723,"overnight batch, batch, overnight"
TK111272,ACC103715,2026-06-23,Onboarding,Low,-0.2732,"schedule, report times, generation"
TK108570,ACC102826,2026-04-24,Reporting,High,0.4215,"missing, missing columns, columns"
TK109236,ACC103040,2026-06-19,Settlement,Critical,-0.296,"window yesterday, cutoff, window"
TK101061,ACC100335,2026-05-14,Reconciliation,High,0.25,"morning, recon job, flagged"
TK108131,ACC102698,2026-06-11,Settlement,High,-0.3919,"failed, settle, pending"
TK100169,ACC100047,2026-07-03,Settlement,Critical,-0.128,"window yesterday, cutoff, window"
TK114973,ACC104943,2026-04-29,Onboarding,High,0.4767,"schedule, report times, generation"
TK104638,ACC101521,2026-06-15,Performance,High,0.4497,"seconds load, takes 30, load market"
TK102012,ACC100649,2026-07-10,Access/Permissions,Low,-0.0258,"morning, recon job, flagged"
TK101713,ACC100552,2026-06-16,Data Accuracy,High,-0.2617,"corporate action, corporate, wrong corporate"
TK103643,ACC101192,2026-06-26,Data Accuracy,Critical,0.34,"morning, recon job, flagged"
TK101869,ACC100605,2026-05-13,Performance,Critical,0.34,"seconds load, takes 30, load market"
TK103323,ACC101084,2026-05-04,Reporting,Medium,0.3612,"exported, exported report, figures"
TK113767,ACC104536,2026-07-11,Access/Permissions,High,-0.0772,"morning, recon job, flagged"
TK104073,ACC101334,2026-06-03,API/Integration,Low,0.2741,"webhook events, keys, rotated"
TK102813,ACC100919,2026-06-02,API/Integration,High,-0.3818,"overnight batch, batch, overnight"
TK105015,ACC101641,2026-06-02,Settlement,Low,-0.6103,"moderate impact, moderate, like fixed"
TK104329,ACC101424,2026-07-10,Billing,Critical,0.3291,"morning, recon job, flagged"
TK100884,ACC100278,2026-06-19,Settlement,Low,-0.7707,"moderate impact, moderate, like fixed"
TK106383,ACC102073,2026-05-07,Reconciliation,High,-0.0387,"morning, recon job, flagged"
TK102448,ACC100793,2026-04-28,Settlement,High,-0.4588,"failed, settle, pending"
TK114903,ACC104917,2026-06-01,Reconciliation,Critical,-0.3182,"morning, recon job, flagged"
TK102315,ACC100749,2026-05-26,Onboarding,Low,0.5719,"don match, match, don"
TK108098,ACC102685,2026-05-05,Performance,High,0.3612,"moderate impact, moderate, like fixed"
TK109774,ACC103222,2026-05-13,API/Integration,Critical,-0.1779,"schedule, report times, generation"
TK113543,ACC104461,2026-07-01,Reconciliation,High,0.7227,"don match, match, don"
TK112339,ACC104056,2026-06-17,Access/Permissions,Medium,0.1002,"moderate impact, moderate, like fixed"
TK103204,ACC101050,2026-06-17,Access/Permissions,High,0.3999,"moderate impact, moderate, like fixed"
TK109281,ACC103057,2026-04-22,API/Integration,High,0.0772,"schedule, report times, generation"
TK109609,ACC103169,2026-07-09,Access/Permissions,Critical,-0.1803,"morning, recon job, flagged"
TK105028,ACC101647,2026-07-11,Settlement,High,-0.6486,"failed, settle, pending"
TK110667,ACC103511,2026-05-04,Performance,Medium,0.3612,"seconds load, takes 30, load market"
TK108928,ACC102947,2026-06-04,API/Integration,Low,0.1027,"overnight batch, batch, overnight"
TK102859,ACC100936,2026-07-15,Reporting,High,-0.1779,"exported, exported report, figures"
TK104952,ACC101622,2026-05-27,Settlement,Critical,-0.296,"window yesterday, cutoff, window"
TK101714,ACC100552,2026-05-12,Settlement,High,-0.1779,"failed, settle, pending"
TK109150,ACC103011,2026-07-10,Reconciliation,High,0.7184,"morning, recon job, flagged"
TK111955,ACC103931,2026-06-06,Data Accuracy,Medium,-0.2617,"corporate action, corporate, wrong corporate"
TK107402,ACC102435,2026-07-03,Performance,Medium,0.0,"seconds load, takes 30, load market"
TK104393,ACC101444,2026-06-02,Reporting,Medium,0.2626,"missing, missing columns, columns"
TK104469,ACC101470,2026-05-01,Onboarding,High,0.0,"schedule, report times, generation"
TK109972,ACC103282,2026-05-09,Data Accuracy,Low,0.3612,"don match, match, don"
TK104755,ACC101558,2026-07-11,Reporting,Medium,-0.296,"missing, missing columns, columns"
TK101989,ACC100642,2026-04-17,Performance,Medium,-0.0762,"seconds load, takes 30, load market"
TK109264,ACC103053,2026-05-15,Access/Permissions,Critical,-0.5267,"morning, recon job, flagged"
TK113386,ACC104413,2026-05-17,Billing,High,0.128,"schedule, report times, generation"
TK111669,ACC103838,2026-07-01,Access/Permissions,High,0.6124,"morning, recon job, flagged"
TK106913,ACC102250,2026-05-07,Reconciliation,High,0.34,"morning, recon job, flagged"
TK105270,ACC101723,2026-07-07,API/Integration,High,-0.0772,"overnight batch, batch, overnight"
TK105129,ACC101675,2026-05-06,UI/Usability,Low,-0.34,"schedule, report times, generation"
TK105353,ACC101746,2026-04-29,API/Integration,Medium,0.0258,"moderate impact, moderate, like fixed"
TK112961,ACC104268,2026-04-20,Settlement,Critical,-0.2023,"don match, match, don"
TK107796,ACC102567,2026-05-30,Access/Permissions,High,0.4588,"morning, recon job, flagged"
TK106706,ACC102180,2026-07-09,Data Accuracy,Critical,-0.1779,"morning, recon job, flagged"
TK103482,ACC101139,2026-06-21,Reporting,Medium,0.0,"exported, exported report, figures"
TK105910,ACC101907,2026-04-18,Performance,Critical,-0.6369,"schedule, report times, generation"
TK110997,ACC103622,2026-05-09,Settlement,High,-0.4767,"corporate action, corporate, wrong corporate"
TK112421,ACC104078,2026-05-13,Reconciliation,Medium,0.3612,"moderate impact, moderate, like fixed"
TK100487,ACC100153,2026-05-16,Reconciliation,Critical,0.6249,"morning, recon job, flagged"
TK108934,ACC102949,2026-07-13,Settlement,High,-0.5106,"failed, settle, pending"
TK110099,ACC103323,2026-05-22,Performance,Critical,-0.7096,"schedule, report times, generation"
TK100088,ACC100025,2026-07-05,API/Integration,Medium,0.6428,"overnight batch, batch, overnight"
TK103269,ACC101070,2026-05-26,Access/Permissions,Critical,-0.3182,"morning, recon job, flagged"
TK102254,ACC100733,2026-04-17,Reconciliation,High,-0.0772,"morning, recon job, flagged"
TK101983,ACC100640,2026-05-23,Onboarding,Low,0.25,"don match, match, don"
TK112879,ACC104236,2026-07-10,Access/Permissions,Critical,-0.2023,"morning, recon job, flagged"
TK104029,ACC101319,2026-05-08,Data Accuracy,Critical,0.1531,"don match, match, don"
TK102751,ACC100895,2026-05-13,API/Integration,High,0.25,"schedule, report times, generation"
TK114915,ACC104922,2026-05-24,Reconciliation,High,0.7184,"don match, match, don"
TK108113,ACC102692,2026-07-07,Performance,Critical,-0.1779,"schedule, report times, generation"
TK107210,ACC102352,2026-06-13,Data Accuracy,Critical,-0.0258,"corporate action, corporate, wrong corporate"
TK100828,ACC100257,2026-06-09,Access/Permissions,Critical,-0.2023,"morning, recon job, flagged"
TK105598,ACC101817,2026-06-09,API/Integration,Low,0.0516,"schedule, report times, generation"
TK107881,ACC102597,2026-05-05,Data Accuracy,Critical,0.34,"don match, match, don"
TK102140,ACC100697,2026-05-09,Onboarding,Critical,0.128,"schedule, report times, generation"
TK102267,ACC100739,2026-05-31,Access/Permissions,High,0.3182,"morning, recon job, flagged"
TK114840,ACC104897,2026-07-13,Performance,Medium,-0.4497,"schedule, report times, generation"
TK111316,ACC103727,2026-07-04,Reconciliation,High,-0.0772,"morning, recon job, flagged"
TK100387,ACC100121,2026-05-26,Reconciliation,Critical,-0.2732,"morning, recon job, flagged"
TK105999,ACC101939,2026-07-05,API/Integration,High,0.4386,"morning, recon job, flagged"
TK105843,ACC101888,2026-05-24,API/Integration,High,-0.4767,"schedule, report times, generation"
TK109930,ACC103270,2026-07-12,Settlement,Low,-0.5106,"window yesterday, cutoff, window"
TK113981,ACC104603,2026-05-19,Data Accuracy,Medium,-0.2617,"corporate action, corporate, wrong corporate"
TK102390,ACC100773,2026-06-03,Reconciliation,High,0.25,"morning, recon job, flagged"
TK113422,ACC104424,2026-07-13,Access/Permissions,Critical,0.0,"morning, recon job, flagged"
TK110475,ACC103455,2026-05-04,Onboarding,Medium,0.696,"schedule, report times, generation"
TK110522,ACC103474,2026-05-17,Performance,High,-0.1779,"seconds load, takes 30, load market"
TK103447,ACC101128,2026-05-03,Access/Permissions,High,0.296,"moderate impact, moderate, like fixed"
TK107406,ACC102437,2026-04-19,Settlement,High,-0.3818,"failed, settle, pending"
TK111831,ACC103889,2026-05-03,API/Integration,High,0.128,"webhook events, keys, rotated"
TK110561,ACC103483,2026-06-17,Settlement,High,-0.7339,"moderate impact, moderate, like fixed"
TK108768,ACC102901,2026-07-01,Billing,Medium,0.5267,"moderate impact, moderate, like fixed"
TK109809,ACC103232,2026-06-25,Performance,Medium,0.0,"seconds load, takes 30, load market"
TK111887,ACC103905,2026-05-13,Reporting,High,0.0,"schedule, report times, generation"
TK110061,ACC103312,2026-06-21,Onboarding,Medium,0.4125,"don match, match, don"
TK109269,ACC103053,2026-05-24,Access/Permissions,High,0.0,"morning, recon job, flagged"
TK105853,ACC101889,2026-05-24,Access/Permissions,High,0.4588,"morning, recon job, flagged"
TK102954,ACC100968,2026-06-16,API/Integration,High,-0.2023,"schedule, report times, generation"
TK101022,ACC100323,2026-06-30,Reporting,Medium,-0.2254,"missing, missing columns, columns"
TK114455,ACC104764,2026-06-22,Settlement,Medium,-0.2254,"window yesterday, cutoff, window"
TK108028,ACC102654,2026-04-28,Reconciliation,Medium,-0.0387,"morning, recon job, flagged"
TK100764,ACC100242,2026-06-30,Reporting,High,0.3182,"schedule, report times, generation"
TK102449,ACC100793,2026-05-21,Data Accuracy,Critical,0.34,"morning, recon job, flagged"
TK100927,ACC100292,2026-06-04,Reconciliation,Critical,-0.0772,"morning, recon job, flagged"
TK102662,ACC100863,2026-05-18,API/Integration,Low,0.1027,"overnight batch, batch, overnight"
TK104502,ACC101480,2026-07-08,Onboarding,Medium,-0.1154,"schedule, report times, generation"
TK101593,ACC100515,2026-05-02,UI/Usability,Low,0.4125,"don match, match, don"
TK101807,ACC100585,2026-07-05,Settlement,Critical,0.2023,"window yesterday, cutoff, window"
TK109090,ACC102998,2026-07-05,Performance,High,-0.5994,"schedule, report times, generation"
TK108596,ACC102835,2026-06-13,API/Integration,Critical,0.0258,"webhook events, keys, rotated"
TK102232,ACC100725,2026-04-17,Performance,Medium,-0.5267,"schedule, report times, generation"
TK102085,ACC100676,2026-04-30,UI/Usability,Low,0.0276,"schedule, report times, generation"
TK114394,ACC104744,2026-06-27,Data Accuracy,Medium,0.6369,"don match, match, don"
TK114490,ACC104780,2026-05-28,Settlement,High,-0.4588,"failed, settle, pending"
TK101844,ACC100597,2026-05-31,Reconciliation,Critical,0.1779,"don match, match, don"
TK100411,ACC100128,2026-05-03,Reporting,Medium,0.3612,"moderate impact, moderate, like fixed"
TK112943,ACC104263,2026-06-21,Access/Permissions,Medium,-0.1419,"morning, recon job, flagged"
TK113416,ACC104423,2026-06-09,API/Integration,Medium,-0.2023,"overnight batch, batch, overnight"
TK101035,ACC100327,2026-05-05,Access/Permissions,High,0.0,"morning, recon job, flagged"
TK105436,ACC101768,2026-07-14,API/Integration,Low,0.4019,"overnight batch, batch, overnight"
TK101270,ACC100408,2026-07-12,Settlement,Medium,-0.4559,"moderate impact, moderate, like fixed"
TK103488,ACC101141,2026-06-21,Reconciliation,Low,0.4774,"morning, recon job, flagged"
TK106444,ACC102096,2026-05-19,Reporting,Critical,0.2626,"missing, missing columns, columns"
TK112054,ACC103967,2026-05-13,Data Accuracy,High,0.0,"don match, match, don"
TK100351,ACC100108,2026-05-08,Reporting,Medium,0.6315,"missing, missing columns, columns"
TK113404,ACC104419,2026-06-20,Data Accuracy,High,0.5499,"morning, recon job, flagged"
TK104436,ACC101457,2026-04-18,Data Accuracy,Critical,0.1779,"morning, recon job, flagged"
TK111477,ACC103774,2026-06-04,Performance,Critical,-0.5859,"corporate action, corporate, wrong corporate"
