ticket_id,account_id,created_date,raw_text,true_category,true_severity
TK100047,ACC100016,2026-06-08,"Can't schedule the regulatory report — it times out on generation. Moderate impact, we'd like this fixed soon. This is impacting our team.",Reporting,Medium
TK100048,ACC100016,2026-06-24,Settlement instruction was rejected with no clear reason. This is seriously impacting our desk today. Happy to jump on a call.,Settlement,High
TK100049,ACC100017,2026-04-30,"Pricing feed shows stale marks for several instruments. Moderate impact, we'd like this fixed soon.",Data Accuracy,Medium
TK100050,ACC100018,2026-07-12,"Onboarding docs don't match the current UI, we're stuck at SSO setup. Minor issue, low priority.",Onboarding,Low
TK100051,ACC100018,2026-05-11,"New user setup is confusing — we can't complete account configuration. Minor issue, low priority. Happy to jump on a call.",Onboarding,Low
TK100052,ACC100018,2026-06-05,"Recon job flagged 8 unmatched trades again this morning. Moderate impact, we'd like this fixed soon. Happy to jump on a call.",Reconciliation,Medium
TK100053,ACC100019,2026-05-21,"MFA lockout is blocking half our desk this morning. Minor issue, low priority. Any update would help.",Access/Permissions,Low
TK100054,ACC100019,2026-04-24,Trade TRD57036 failed to settle and is stuck in pending status. It's affecting multiple users right now.,Settlement,High
TK100055,ACC100019,2026-07-08,The REST API rate limit is blocking our overnight batch sync. Disrupting our workflow but we have a workaround.,API/Integration,Medium
TK100056,ACC100019,2026-05-03,Data migration during onboarding dropped several historical trades. Not urgent but it keeps recurring.,Onboarding,Medium
TK100057,ACC100019,2026-04-22,Several settlements missed the cutoff window yesterday. This is seriously impacting our desk today. Please advise urgently.,Settlement,High
TK100058,ACC100019,2026-05-21,"Our API integration returns 500 errors on the positions endpoint. High priority, please escalate.",API/Integration,High
TK100059,ACC100020,2026-04-30,"Can't schedule the regulatory report — it times out on generation. Minor issue, low priority. This is impacting our team.",Reporting,Low
TK100060,ACC100020,2026-05-11,Query performance has degraded badly this week. This is blocking all trading and needs an urgent fix. Any update would help.,Performance,Critical
TK100061,ACC100020,2026-05-06,Several settlements missed the cutoff window yesterday. It's affecting multiple users right now.,Settlement,High
TK100062,ACC100020,2026-05-17,"Reconciliation break between our ledger and your settlement report for 24/08. Minor issue, low priority. Please advise urgently.",Reconciliation,Low
TK100063,ACC100020,2026-06-24,Data migration during onboarding dropped several historical trades. Disrupting our workflow but we have a workaround. This is impacting our team.,Onboarding,Medium
TK100064,ACC100020,2026-07-15,Recon job flagged 12 unmatched trades again this morning. Not urgent but it keeps recurring. Please advise urgently.,Reconciliation,Medium
TK100065,ACC100020,2026-07-10,Reconciliation break between our ledger and your settlement report for 27/09. It's affecting multiple users right now. This is impacting our team.,Reconciliation,High
TK100066,ACC100021,2026-06-04,This month's invoice double-charged us for seats we removed. Just a nice-to-have improvement. Please advise urgently.,Billing,Low
TK100067,ACC100021,2026-07-02,Reconciliation break between our ledger and your settlement report for 15/09. It's affecting multiple users right now. Any update would help.,Reconciliation,High
TK100068,ACC100021,2026-05-31,A user can see accounts they shouldn't have permission to view. We cannot operate until this is resolved. Happy to jump on a call.,Access/Permissions,Critical
TK100069,ACC100021,2026-07-07,The dashboard takes over 30 seconds to load during market open. This is blocking all trading and needs an urgent fix. Second time reporting this.,Performance,Critical
TK100070,ACC100021,2026-06-05,Settlement instruction was rejected with no clear reason. No rush on this one. Happy to jump on a call.,Settlement,Low
TK100071,ACC100021,2026-04-22,Pricing feed shows stale marks for several instruments. Production is down for us — critical impact. Any update would help.,Data Accuracy,Critical
TK100072,ACC100022,2026-04-21,Recon job flagged 6 unmatched trades again this morning. It's affecting multiple users right now. Please advise urgently.,Reconciliation,High
TK100073,ACC100022,2026-06-09,"The daily P&L export is missing columns since the last release. Moderate impact, we'd like this fixed soon. This is impacting our team.",Reporting,Medium
TK100074,ACC100022,2026-07-02,"Settlement instruction was rejected with no clear reason. High priority, please escalate. Any update would help.",Settlement,High
TK100075,ACC100022,2026-06-17,"The dashboard takes over 30 seconds to load during market open. Moderate impact, we'd like this fixed soon. Happy to jump on a call.",Performance,Medium
TK100076,ACC100023,2026-05-04,A user can see accounts they shouldn't have permission to view. It's affecting multiple users right now. Any update would help.,Access/Permissions,High
TK100077,ACC100023,2026-06-17,Position quantities are wrong after the corporate action. Not urgent but it keeps recurring. This is impacting our team.,Data Accuracy,Medium
TK100078,ACC100023,2026-07-09,This month's invoice double-charged us for seats we removed. Not urgent but it keeps recurring. Please advise urgently.,Billing,Medium
TK100079,ACC100023,2026-05-02,The daily P&L export is missing columns since the last release. This is seriously impacting our desk today. Any update would help.,Reporting,High
TK100080,ACC100024,2026-05-31,"We were charged for overages we don't understand. Moderate impact, we'd like this fixed soon. Second time reporting this.",Billing,Medium
TK100081,ACC100024,2026-06-11,Dark mode makes several fields unreadable. No rush on this one.,UI/Usability,Low
TK100082,ACC100024,2026-06-08,Data migration during onboarding dropped several historical trades. We cannot operate until this is resolved. This is impacting our team.,Onboarding,Critical
TK100083,ACC100025,2026-06-05,"Dark mode makes several fields unreadable. Minor issue, low priority. Any update would help.",UI/Usability,Low
TK100084,ACC100025,2026-06-18,Exported report totals don't tie out to the dashboard figures. It's affecting multiple users right now. This is impacting our team.,Reporting,High
TK100085,ACC100025,2026-05-24,Pricing feed shows stale marks for several instruments. Production is down for us — critical impact.,Data Accuracy,Critical
TK100086,ACC100025,2026-06-09,Our API integration returns 500 errors on the positions endpoint. Production is down for us — critical impact. Happy to jump on a call.,API/Integration,Critical
TK100087,ACC100025,2026-04-30,MFA lockout is blocking half our desk this morning. Production is down for us — critical impact.,Access/Permissions,Critical
TK100088,ACC100025,2026-07-05,The REST API rate limit is blocking our overnight batch sync. Disrupting our workflow but we have a workaround. Happy to jump on a call.,API/Integration,Medium
TK100089,ACC100025,2026-04-24,"Exported report totals don't tie out to the dashboard figures. Moderate impact, we'd like this fixed soon.",Reporting,Medium
TK100090,ACC100026,2026-05-14,"The dashboard takes over 30 seconds to load during market open. High priority, please escalate.",Performance,High
TK100091,ACC100027,2026-05-19,Can't schedule the regulatory report — it times out on generation. Not urgent but it keeps recurring. Any update would help.,Reporting,Medium
TK100092,ACC100027,2026-06-20,Dark mode makes several fields unreadable. Just a nice-to-have improvement.,UI/Usability,Low
TK100093,ACC100027,2026-05-27,"MFA lockout is blocking half our desk this morning. Moderate impact, we'd like this fixed soon. Happy to jump on a call.",Access/Permissions,Medium
TK100094,ACC100027,2026-05-19,New user setup is confusing — we can't complete account configuration. No rush on this one.,Onboarding,Low
TK100095,ACC100028,2026-06-04,End-of-day balances don't match after recon — we're off by $866k. We cannot operate until this is resolved.,Reconciliation,Critical
TK100096,ACC100028,2026-06-22,"The new layout hides the export button — very hard to find. Moderate impact, we'd like this fixed soon.",UI/Usability,Medium
TK100097,ACC100028,2026-05-16,We were charged for overages we don't understand. This is blocking all trading and needs an urgent fix.,Billing,Critical
TK100098,ACC100028,2026-04-25,New user setup is confusing — we can't complete account configuration. Just a nice-to-have improvement. Please advise urgently.,Onboarding,Low
TK100099,ACC100028,2026-07-13,The dashboard takes over 30 seconds to load during market open. No rush on this one. Any update would help.,Performance,Low
TK100100,ACC100029,2026-05-06,Can't schedule the regulatory report — it times out on generation. Just a nice-to-have improvement. Second time reporting this.,Reporting,Low
TK100101,ACC100029,2026-06-29,Several settlements missed the cutoff window yesterday. It's affecting multiple users right now.,Settlement,High
TK100102,ACC100029,2026-05-07,"End-of-day balances don't match after recon — we're off by $726k. High priority, please escalate. Second time reporting this.",Reconciliation,High
TK100103,ACC100029,2026-06-10,"End-of-day balances don't match after recon — we're off by $770k. High priority, please escalate. Please advise urgently.",Reconciliation,High
TK100104,ACC100029,2026-05-27,"FX rates in the app don't match our custodian's rates. High priority, please escalate. This is impacting our team.",Data Accuracy,High
TK100105,ACC100029,2026-05-09,Our API integration returns 500 errors on the positions endpoint. Not urgent but it keeps recurring.,API/Integration,Medium
TK100106,ACC100030,2026-06-18,Query performance has degraded badly this week. It's affecting multiple users right now.,Performance,High
TK100107,ACC100030,2026-06-16,Admin role can't grant entitlements after the latest update. This is seriously impacting our desk today. Second time reporting this.,Access/Permissions,High
TK100108,ACC100031,2026-05-19,"Reconciliation break between our ledger and your settlement report for 08/01. Moderate impact, we'd like this fixed soon.",Reconciliation,Medium
TK100109,ACC100031,2026-05-06,Webhook events stopped firing after we rotated our API keys. No rush on this one. This is impacting our team.,API/Integration,Low
TK100110,ACC100031,2026-04-22,Trade TRD95980 failed to settle and is stuck in pending status. It's affecting multiple users right now. Any update would help.,Settlement,High
TK100111,ACC100031,2026-07-10,"End-of-day balances don't match after recon — we're off by $264k. Minor issue, low priority. Happy to jump on a call.",Reconciliation,Low
TK100112,ACC100031,2026-05-07,"The REST API rate limit is blocking our overnight batch sync. Moderate impact, we'd like this fixed soon. Second time reporting this.",API/Integration,Medium
TK100113,ACC100032,2026-07-15,"New user setup is confusing — we can't complete account configuration. High priority, please escalate. This is impacting our team.",Onboarding,High
TK100114,ACC100032,2026-06-09,Reconciliation break between our ledger and your settlement report for 01/02. Disrupting our workflow but we have a workaround. Second time reporting this.,Reconciliation,Medium
TK100115,ACC100032,2026-06-02,Admin role can't grant entitlements after the latest update. Disrupting our workflow but we have a workaround.,Access/Permissions,Medium
TK100116,ACC100032,2026-04-29,"Data migration during onboarding dropped several historical trades. High priority, please escalate. Any update would help.",Onboarding,High
TK100117,ACC100032,2026-06-29,Recon job flagged 36 unmatched trades again this morning. This is blocking all trading and needs an urgent fix.,Reconciliation,Critical
TK100118,ACC100033,2026-05-15,Recon job flagged 5 unmatched trades again this morning. This is blocking all trading and needs an urgent fix. Happy to jump on a call.,Reconciliation,Critical
TK100119,ACC100033,2026-04-30,Recon job flagged 8 unmatched trades again this morning. Not urgent but it keeps recurring.,Reconciliation,Medium
TK100120,ACC100033,2026-05-10,Settlement instruction was rejected with no clear reason. Disrupting our workflow but we have a workaround. Second time reporting this.,Settlement,Medium
TK100121,ACC100033,2026-06-17,"Exported report totals don't tie out to the dashboard figures. Moderate impact, we'd like this fixed soon. Happy to jump on a call.",Reporting,Medium
TK100122,ACC100033,2026-04-30,Recon job flagged 28 unmatched trades again this morning. Production is down for us — critical impact.,Reconciliation,Critical
TK100123,ACC100034,2026-07-03,MFA lockout is blocking half our desk this morning. This is seriously impacting our desk today.,Access/Permissions,High
TK100124,ACC100034,2026-05-27,Data migration during onboarding dropped several historical trades. It's affecting multiple users right now. Please advise urgently.,Onboarding,High
TK100125,ACC100034,2026-05-21,Latency spikes make the blotter unusable at peak hours. Production is down for us — critical impact. This is impacting our team.,Performance,Critical
TK100126,ACC100034,2026-06-28,Settlement instruction was rejected with no clear reason. We cannot operate until this is resolved.,Settlement,Critical
TK100127,ACC100034,2026-05-27,"The dashboard takes over 30 seconds to load during market open. High priority, please escalate. This is impacting our team.",Performance,High
TK100128,ACC100035,2026-07-02,Can't schedule the regulatory report — it times out on generation. Not urgent but it keeps recurring.,Reporting,Medium
TK100129,ACC100035,2026-07-07,Webhook events stopped firing after we rotated our API keys. Production is down for us — critical impact.,API/Integration,Critical
TK100130,ACC100036,2026-05-15,Pricing feed shows stale marks for several instruments. This is seriously impacting our desk today. This is impacting our team.,Data Accuracy,High
TK100131,ACC100036,2026-04-27,This month's invoice double-charged us for seats we removed. No rush on this one. Happy to jump on a call.,Billing,Low
TK100132,ACC100036,2026-06-06,The daily P&L export is missing columns since the last release. Not urgent but it keeps recurring. Any update would help.,Reporting,Medium
TK100133,ACC100037,2026-05-10,Pricing feed shows stale marks for several instruments. Disrupting our workflow but we have a workaround. Any update would help.,Data Accuracy,Medium
TK100134,ACC100037,2026-05-20,Recon job flagged 37 unmatched trades again this morning. Just a nice-to-have improvement. Second time reporting this.,Reconciliation,Low
TK100135,ACC100038,2026-06-03,The dashboard takes over 30 seconds to load during market open. Not urgent but it keeps recurring. Any update would help.,Performance,Medium
TK100136,ACC100038,2026-07-11,Settlement instruction was rejected with no clear reason. This is seriously impacting our desk today. Happy to jump on a call.,Settlement,High
TK100137,ACC100039,2026-06-20,"Filters reset every time we change tabs, it's frustrating. Not urgent but it keeps recurring. Second time reporting this.",UI/Usability,Medium
TK100138,ACC100040,2026-07-15,Settlement instruction was rejected with no clear reason. This is blocking all trading and needs an urgent fix. Please advise urgently.,Settlement,Critical
TK100139,ACC100040,2026-06-19,"Filters reset every time we change tabs, it's frustrating. Minor issue, low priority. Please advise urgently.",UI/Usability,Low
TK100140,ACC100040,2026-05-24,"MFA lockout is blocking half our desk this morning. Moderate impact, we'd like this fixed soon.",Access/Permissions,Medium
TK100141,ACC100040,2026-05-21,Reconciliation break between our ledger and your settlement report for 07/07. It's affecting multiple users right now.,Reconciliation,High
TK100142,ACC100040,2026-05-29,"The dashboard takes over 30 seconds to load during market open. High priority, please escalate. Happy to jump on a call.",Performance,High
TK100143,ACC100041,2026-06-27,Several settlements missed the cutoff window yesterday. It's affecting multiple users right now. Please advise urgently.,Settlement,High
TK100144,ACC100041,2026-05-21,Pricing feed shows stale marks for several instruments. This is blocking all trading and needs an urgent fix.,Data Accuracy,Critical
TK100145,ACC100041,2026-04-28,The daily P&L export is missing columns since the last release. Not urgent but it keeps recurring. Happy to jump on a call.,Reporting,Medium
TK100146,ACC100042,2026-07-09,Exported report totals don't tie out to the dashboard figures. Disrupting our workflow but we have a workaround.,Reporting,Medium
TK100147,ACC100042,2026-06-06,"MFA lockout is blocking half our desk this morning. High priority, please escalate.",Access/Permissions,High
TK100148,ACC100042,2026-06-12,Reconciliation break between our ledger and your settlement report for 26/01. This is blocking all trading and needs an urgent fix. This is impacting our team.,Reconciliation,Critical
TK100149,ACC100042,2026-06-17,Settlement instruction was rejected with no clear reason. We cannot operate until this is resolved. Please advise urgently.,Settlement,Critical
TK100150,ACC100042,2026-07-03,Latency spikes make the blotter unusable at peak hours. It's affecting multiple users right now.,Performance,High
TK100151,ACC100043,2026-07-11,"MFA lockout is blocking half our desk this morning. High priority, please escalate. Any update would help.",Access/Permissions,High
TK100152,ACC100043,2026-06-27,Can't schedule the regulatory report — it times out on generation. Not urgent but it keeps recurring. This is impacting our team.,Reporting,Medium
TK100153,ACC100044,2026-07-10,The REST API rate limit is blocking our overnight batch sync. Disrupting our workflow but we have a workaround.,API/Integration,Medium
TK100154,ACC100044,2026-05-18,Webhook events stopped firing after we rotated our API keys. This is blocking all trading and needs an urgent fix.,API/Integration,Critical
TK100155,ACC100044,2026-04-21,"A user can see accounts they shouldn't have permission to view. High priority, please escalate. Happy to jump on a call.",Access/Permissions,High
TK100156,ACC100044,2026-06-19,The daily P&L export is missing columns since the last release. It's affecting multiple users right now. Any update would help.,Reporting,High
TK100157,ACC100044,2026-04-21,"MFA lockout is blocking half our desk this morning. Minor issue, low priority. Second time reporting this.",Access/Permissions,Low
TK100158,ACC100045,2026-05-11,"Can't schedule the regulatory report — it times out on generation. Moderate impact, we'd like this fixed soon. Any update would help.",Reporting,Medium
TK100159,ACC100045,2026-07-04,"Exported report totals don't tie out to the dashboard figures. Moderate impact, we'd like this fixed soon. This is impacting our team.",Reporting,Medium
TK100160,ACC100045,2026-05-04,Reconciliation break between our ledger and your settlement report for 18/09. Not urgent but it keeps recurring. Second time reporting this.,Reconciliation,Medium
TK100161,ACC100045,2026-06-21,A user can see accounts they shouldn't have permission to view. Disrupting our workflow but we have a workaround.,Access/Permissions,Medium
TK100162,ACC100045,2026-05-27,Reconciliation break between our ledger and your settlement report for 19/11. It's affecting multiple users right now. Any update would help.,Reconciliation,High
TK100163,ACC100045,2026-04-19,"Dark mode makes several fields unreadable. Minor issue, low priority.",UI/Usability,Low
TK100164,ACC100046,2026-06-13,Can't schedule the regulatory report — it times out on generation. Not urgent but it keeps recurring. Happy to jump on a call.,Reporting,Medium
TK100165,ACC100046,2026-05-20,"FX rates in the app don't match our custodian's rates. Moderate impact, we'd like this fixed soon. Any update would help.",Data Accuracy,Medium
TK100166,ACC100046,2026-07-14,Can't schedule the regulatory report — it times out on generation. It's affecting multiple users right now.,Reporting,High
TK100167,ACC100047,2026-05-18,MFA lockout is blocking half our desk this morning. Disrupting our workflow but we have a workaround. Happy to jump on a call.,Access/Permissions,Medium
TK100168,ACC100047,2026-06-19,Settlement instruction was rejected with no clear reason. Production is down for us — critical impact.,Settlement,Critical
TK100169,ACC100047,2026-07-03,Several settlements missed the cutoff window yesterday. We cannot operate until this is resolved. This is impacting our team.,Settlement,Critical
TK100170,ACC100048,2026-07-13,A user can see accounts they shouldn't have permission to view. We cannot operate until this is resolved. This is impacting our team.,Access/Permissions,Critical
TK100171,ACC100048,2026-05-05,"Query performance has degraded badly this week. Minor issue, low priority. Happy to jump on a call.",Performance,Low
TK100172,ACC100048,2026-07-01,"Trade TRD84926 failed to settle and is stuck in pending status. Moderate impact, we'd like this fixed soon. This is impacting our team.",Settlement,Medium
TK100173,ACC100049,2026-04-17,Query performance has degraded badly this week. Not urgent but it keeps recurring. Please advise urgently.,Performance,Medium
TK100174,ACC100049,2026-06-29,The REST API rate limit is blocking our overnight batch sync. This is blocking all trading and needs an urgent fix. Any update would help.,API/Integration,Critical
TK100175,ACC100050,2026-05-03,End-of-day balances don't match after recon — we're off by $292k. Not urgent but it keeps recurring.,Reconciliation,Medium
TK100176,ACC100050,2026-06-21,The daily P&L export is missing columns since the last release. This is seriously impacting our desk today.,Reporting,High
TK100177,ACC100051,2026-07-11,Pricing feed shows stale marks for several instruments. This is blocking all trading and needs an urgent fix. Any update would help.,Data Accuracy,Critical
TK100178,ACC100052,2026-06-15,Recon job flagged 14 unmatched trades again this morning. It's affecting multiple users right now.,Reconciliation,High
TK100179,ACC100052,2026-07-07,Reconciliation break between our ledger and your settlement report for 08/10. Not urgent but it keeps recurring. Please advise urgently.,Reconciliation,Medium
TK100180,ACC100052,2026-05-12,"Can't schedule the regulatory report — it times out on generation. Moderate impact, we'd like this fixed soon.",Reporting,Medium
TK100181,ACC100053,2026-07-08,Can't schedule the regulatory report — it times out on generation. This is seriously impacting our desk today.,Reporting,High
TK100182,ACC100053,2026-04-18,Trade TRD99133 failed to settle and is stuck in pending status. We cannot operate until this is resolved. Please advise urgently.,Settlement,Critical
TK100183,ACC100053,2026-06-28,Webhook events stopped firing after we rotated our API keys. It's affecting multiple users right now. Any update would help.,API/Integration,High
TK100184,ACC100054,2026-06-11,Several settlements missed the cutoff window yesterday. It's affecting multiple users right now. Any update would help.,Settlement,High
TK100185,ACC100054,2026-06-22,Data migration during onboarding dropped several historical trades. Production is down for us — critical impact. Happy to jump on a call.,Onboarding,Critical
TK100186,ACC100055,2026-07-04,The daily P&L export is missing columns since the last release. Not urgent but it keeps recurring. This is impacting our team.,Reporting,Medium
TK100187,ACC100055,2026-06-26,Can't schedule the regulatory report — it times out on generation. Disrupting our workflow but we have a workaround. Please advise urgently.,Reporting,Medium
TK100188,ACC100055,2026-05-01,Position quantities are wrong after the corporate action. It's affecting multiple users right now. Any update would help.,Data Accuracy,High
TK100189,ACC100055,2026-06-26,Recon job flagged 9 unmatched trades again this morning. We cannot operate until this is resolved. Please advise urgently.,Reconciliation,Critical
TK100190,ACC100055,2026-06-29,Reconciliation break between our ledger and your settlement report for 12/06. Production is down for us — critical impact.,Reconciliation,Critical
TK100191,ACC100055,2026-06-27,The daily P&L export is missing columns since the last release. Production is down for us — critical impact. Second time reporting this.,Reporting,Critical
TK100192,ACC100055,2026-06-09,"Position quantities are wrong after the corporate action. Moderate impact, we'd like this fixed soon. Happy to jump on a call.",Data Accuracy,Medium
TK100193,ACC100056,2026-07-12,This month's invoice double-charged us for seats we removed. No rush on this one. Any update would help.,Billing,Low
TK100194,ACC100057,2026-05-04,Can't schedule the regulatory report — it times out on generation. It's affecting multiple users right now. This is impacting our team.,Reporting,High
TK100195,ACC100057,2026-05-24,"The REST API rate limit is blocking our overnight batch sync. High priority, please escalate.",API/Integration,High
TK100196,ACC100057,2026-05-25,Reconciliation break between our ledger and your settlement report for 06/11. This is seriously impacting our desk today. Happy to jump on a call.,Reconciliation,High
TK100197,ACC100057,2026-06-10,Can't schedule the regulatory report — it times out on generation. Not urgent but it keeps recurring.,Reporting,Medium
TK100198,ACC100057,2026-06-12,"Exported report totals don't tie out to the dashboard figures. Moderate impact, we'd like this fixed soon. Any update would help.",Reporting,Medium
TK100199,ACC100057,2026-06-10,The daily P&L export is missing columns since the last release. It's affecting multiple users right now.,Reporting,High
TK100200,ACC100058,2026-06-29,Several settlements missed the cutoff window yesterday. It's affecting multiple users right now.,Settlement,High
TK100201,ACC100058,2026-05-24,"Onboarding docs don't match the current UI, we're stuck at SSO setup. It's affecting multiple users right now.",Onboarding,High
TK100202,ACC100058,2026-07-02,Recon job flagged 5 unmatched trades again this morning. Production is down for us — critical impact.,Reconciliation,Critical
TK100203,ACC100059,2026-04-27,The REST API rate limit is blocking our overnight batch sync. This is seriously impacting our desk today.,API/Integration,High
TK100204,ACC100059,2026-06-26,The daily P&L export is missing columns since the last release. Disrupting our workflow but we have a workaround. Any update would help.,Reporting,Medium
TK100205,ACC100059,2026-04-27,"Filters reset every time we change tabs, it's frustrating. Just a nice-to-have improvement.",UI/Usability,Low
TK100206,ACC100060,2026-05-11,"Can't schedule the regulatory report — it times out on generation. High priority, please escalate.",Reporting,High
TK100207,ACC100060,2026-05-01,Can't schedule the regulatory report — it times out on generation. It's affecting multiple users right now. This is impacting our team.,Reporting,High
TK100208,ACC100062,2026-06-06,Several settlements missed the cutoff window yesterday. Production is down for us — critical impact. Any update would help.,Settlement,Critical
